ponto_id,longitude,latitude,item_id,data_aquisicao,tile,nuvens_item_pct,resolucao_m,pixels_total,pixels_validos,fracao_valida,ndvi_media,ndvi_mediana,ndvi_p90,fracao_vegetacao_densa,periodo
P092,-45.74995,-23.1342833,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.23747766017913818,0.24907824397087097,0.3235982060432434,0.0,2024
P001,-45.9512896,-23.2602229,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.08513891696929932,0.07414226233959198,0.17362534999847412,0.0,2025
P002,-45.9499994,-23.259387,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.06291952729225159,0.0576271191239357,0.1295628547668457,0.0,2025
P003,-45.947999,-23.2581007,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.12897461652755737,0.07374999672174454,0.3026731610298157,0.0,2025
P004,-45.9455922,-23.2567336,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.10202948749065399,0.07271172106266022,0.22429662942886353,0.0,2025
P005,-45.9440003,-23.2555288,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.07450392097234726,0.06680512428283691,0.1187935397028923,0.0,2025
P006,-45.9424476,-23.2547414,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.05687814950942993,0.05052178353071213,0.09766499698162079,0.0,2025
P007,-45.9403855,-23.2534074,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.05998649820685387,0.045799657702445984,0.09838269650936127,0.0,2025
P008,-45.938697,-23.2521122,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.10767649859189987,0.08593612164258957,0.20699958503246307,0.0,2025
P009,-45.936968,-23.2511867,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.09439463168382645,0.08513453602790833,0.15882764756679535,0.0,2025
P010,-45.9345238,-23.249627,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.06669820100069046,0.05788235366344452,0.11074906587600708,0.0,2025
P011,-45.9329924,-23.2484889,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.05944635719060898,0.05606694519519806,0.08818065375089645,0.0,2025
P012,-45.931381,-23.2476343,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.08217178285121918,0.06444135308265686,0.18671204149723053,0.0,2025
P013,-45.9296264,-23.2463325,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.09845219552516937,0.07875987142324448,0.20351611077785492,0.0,2025
P014,-45.9273176,-23.2447763,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.13117027282714844,0.12256050109863281,0.22796866297721863,0.0,2025
P015,-45.9260457,-23.2438114,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.10940366983413696,0.08863972872495651,0.19313865900039673,0.0,2025
P016,-45.9239726,-23.2421593,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.09203178435564041,0.06330318748950958,0.20324881374835968,0.0,2025
P017,-45.922858,-23.2411129,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.08350641280412674,0.05581999197602272,0.18161502480506897,0.0,2025
P018,-45.9213146,-23.2396888,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.06939896941184998,0.05024932697415352,0.14341315627098083,0.0,2025
P019,-45.9202973,-23.2385589,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.08919446170330048,0.061355482786893845,0.22928135097026825,0.0,2025
P020,-45.9188575,-23.2374416,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.09335179626941681,0.06360708177089691,0.2372487187385559,0.0,2025
P021,-45.9176124,-23.2362821,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.08757248520851135,0.06340183317661285,0.16950632631778717,0.0,2025
P022,-45.9162493,-23.2347839,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.06345066428184509,0.05757715180516243,0.10564395040273666,0.0,2025
P023,-45.9145337,-23.2333907,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.07846463471651077,0.06436917930841446,0.16340705752372742,0.0,2025
P024,-45.9133162,-23.2322415,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.09309055656194687,0.07331118732690811,0.20794673264026642,0.0,2025
P025,-45.9114144,-23.2304542,S2B_MSIL2A_20250813T131249_R138_T23KLQ_20250813T150043,2025-08-13,23KLQ,0.014582,10.0,113,113,1.0,0.061882998794317245,0.05310129374265671,0.11964549124240875,0.0,2025
