ponto_id,longitude,latitude,fracao_valida_anterior,fracao_valida_atual,fracao_vegetacao_densa_anterior,fracao_vegetacao_densa_atual,ndvi_media_anterior,ndvi_media_atual,ndvi_mediana_anterior,ndvi_mediana_atual,ndvi_p90_anterior,ndvi_p90_atual,pixels_validos_anterior,pixels_validos_atual,delta_ndvi_media,delta_fracao_densa,indice_prioridade_0_100,prioridade_inspecao,criterio_rotulo
P065,-45.8044808,-23.1617463,1.0,1.0,0.0,0.0,0.1045787781476974,0.1098968982696533,0.0848194882273674,0.092422254383564,0.1893233060836792,0.2045903205871582,113,113,0.005318120121955913,0.0,29.4,baixa,ndvi_p90_atual=0.205; delta_ndvi=0.005
P081,-45.7710928,-23.1449166,1.0,1.0,0.0,0.0,0.2454695850610733,0.1604434698820114,0.2587575018405914,0.1409538984298706,0.3512639999389648,0.2671038210391998,113,113,-0.08502611517906189,0.0,29.2,baixa,ndvi_p90_atual=0.267; delta_ndvi=-0.085
P045,-45.8636874,-23.1912501,1.0,1.0,0.0,0.0,0.2397555261850357,0.1508889645338058,0.2659857869148254,0.1291452050209045,0.3610632419586181,0.2654707431793213,113,113,-0.08886656165122991,0.0,29.0,baixa,ndvi_p90_atual=0.265; delta_ndvi=-0.089
P048,-45.8546778,-23.1867795,1.0,1.0,0.0,0.0,0.1356363147497177,0.1287053972482681,0.1144067794084549,0.1161449775099754,0.2321678400039672,0.2165697962045669,113,113,-0.006930917501449613,0.0,29.0,baixa,ndvi_p90_atual=0.217; delta_ndvi=-0.007
P080,-45.7727475,-23.1457487,1.0,1.0,0.0,0.0,0.1869379729032516,0.1607813388109207,0.1880029290914535,0.1408918350934982,0.256302535533905,0.2357054352760315,113,113,-0.026156634092330905,0.0,28.5,baixa,ndvi_p90_atual=0.236; delta_ndvi=-0.026
P015,-45.9260457,-23.2438114,1.0,1.0,0.0,0.0,0.0997852906584739,0.1094036698341369,0.0685240998864173,0.0886397287249565,0.2171641290187835,0.1931386590003967,113,113,0.009618379175662994,0.0,28.2,baixa,ndvi_p90_atual=0.193; delta_ndvi=0.010
P024,-45.9133162,-23.2322415,1.0,1.0,0.0,0.0,0.0991488844156265,0.0930905565619468,0.0742280259728431,0.0733111873269081,0.1918409317731857,0.2079467326402664,113,113,-0.006058327853679699,0.0,27.7,baixa,ndvi_p90_atual=0.208; delta_ndvi=-0.006
P061,-45.8158312,-23.1673229,1.0,1.0,0.0,0.0,0.1680884212255478,0.1490521728992462,0.1670628935098648,0.1471321731805801,0.2473696619272232,0.2215412557125091,113,113,-0.019036248326301602,0.0,27.5,baixa,ndvi_p90_atual=0.222; delta_ndvi=-0.019
P016,-45.9239726,-23.2421593,1.0,1.0,0.0,0.0,0.0987913832068443,0.0920317843556404,0.0730544105172157,0.0633031874895095,0.1997307240962982,0.2032488137483596,113,113,-0.006759598851203905,0.0,26.7,baixa,ndvi_p90_atual=0.203; delta_ndvi=-0.007
P073,-45.7853693,-23.1520073,1.0,1.0,0.0,0.0,0.1835529506206512,0.1536224037408828,0.1677747368812561,0.1555555611848831,0.2726824581623077,0.2271401584148407,113,113,-0.0299305468797684,0.0,26.3,baixa,ndvi_p90_atual=0.227; delta_ndvi=-0.030
P030,-45.8994403,-23.2193674,1.0,1.0,0.0,0.0,0.0929747372865676,0.0974393859505653,0.063048355281353,0.0744723230600357,0.1736888289451599,0.1788035035133361,113,113,0.004464648663997692,0.0,24.7,baixa,ndvi_p90_atual=0.179; delta_ndvi=0.004
P012,-45.931381,-23.2476343,1.0,1.0,0.0,0.0,0.0861588269472122,0.0821717828512191,0.0680291950702667,0.0644413530826568,0.166999414563179,0.1867120414972305,113,113,-0.003987044095993111,0.0,24.4,baixa,ndvi_p90_atual=0.187; delta_ndvi=-0.004
P042,-45.8686602,-23.1937087,1.0,1.0,0.0,0.0,0.1389709264039993,0.107402853667736,0.1181518137454986,0.0837849080562591,0.2547306716442108,0.218260109424591,113,113,-0.0315680727362633,0.0,24.4,baixa,ndvi_p90_atual=0.218; delta_ndvi=-0.032
P032,-45.8921681,-23.2123262,1.0,1.0,0.0,0.0,0.1096130982041359,0.1035271361470222,0.0998307988047599,0.0926788002252578,0.2018759101629257,0.1818226873874664,113,113,-0.006085962057113689,0.0,23.1,baixa,ndvi_p90_atual=0.182; delta_ndvi=-0.006
P009,-45.936968,-23.2511867,1.0,1.0,0.0,0.0,0.0807302221655845,0.0943946316838264,0.0639474615454673,0.0851345360279083,0.1578624993562698,0.1588276475667953,113,113,0.01366440951824191,0.0,23.0,baixa,ndvi_p90_atual=0.159; delta_ndvi=0.014
P001,-45.9512896,-23.2602229,1.0,1.0,0.0,0.0,0.0889137759804725,0.0851389169692993,0.0806201547384262,0.0741422623395919,0.1612446010112762,0.1736253499984741,113,113,-0.0037748590111731928,0.0,22.1,baixa,ndvi_p90_atual=0.174; delta_ndvi=-0.004
P017,-45.922858,-23.2411129,1.0,1.0,0.0,0.0,0.095572181046009,0.0835064128041267,0.0787998661398887,0.0558199919760227,0.1785639077425003,0.1816150248050689,113,113,-0.012065768241882296,0.0,21.9,baixa,ndvi_p90_atual=0.182; delta_ndvi=-0.012
P031,-45.8967109,-23.2166133,1.0,1.0,0.0,0.0,0.1087830886244773,0.0938509628176689,0.0845948383212089,0.0798411965370178,0.2482070326805114,0.1828340888023376,113,113,-0.014932125806808402,0.0,21.5,baixa,ndvi_p90_atual=0.183; delta_ndvi=-0.015
P049,-45.8524734,-23.1856714,1.0,1.0,0.0,0.0,0.1313507407903671,0.1180868819355964,0.1162790730595588,0.116666667163372,0.220063030719757,0.1778714954853058,113,113,-0.013263858854770702,0.0,21.0,baixa,ndvi_p90_atual=0.178; delta_ndvi=-0.013
P028,-45.9038062,-23.2231899,1.0,1.0,0.0,0.0,0.1092745959758758,0.1078358739614486,0.0933964774012565,0.100125677883625,0.1930454820394516,0.1565764993429184,113,113,-0.001438722014427199,0.0,19.6,baixa,ndvi_p90_atual=0.157; delta_ndvi=-0.001
P023,-45.9145337,-23.2333907,1.0,1.0,0.0,0.0,0.0891760513186454,0.0784646347165107,0.0775560587644577,0.0643691793084144,0.1620674133300781,0.1634070575237274,113,113,-0.01071141660213469,0.0,19.0,baixa,ndvi_p90_atual=0.163; delta_ndvi=-0.011
P034,-45.8838996,-23.2046542,1.0,1.0,0.0,0.0,0.0858171954751014,0.0842523798346519,0.0811608433723449,0.0738746523857116,0.1557250469923019,0.1473918259143829,113,113,-0.0015648156404494962,0.0,18.0,baixa,ndvi_p90_atual=0.147; delta_ndvi=-0.002
P021,-45.9176124,-23.2362821,1.0,1.0,0.0,0.0,0.1107328459620475,0.0875724852085113,0.0812002047896385,0.0634018331766128,0.1894440352916717,0.1695063263177871,113,113,-0.023160360753536197,0.0,17.5,baixa,ndvi_p90_atual=0.170; delta_ndvi=-0.023
P053,-45.837751,-23.178287,1.0,1.0,0.0,0.0,0.1728065609931945,0.1215465515851974,0.1642441898584365,0.1103034690022468,0.2214086800813675,0.1809756755828857,113,113,-0.051260009407997104,0.0,14.2,baixa,ndvi_p90_atual=0.181; delta_ndvi=-0.051
P010,-45.9345238,-23.249627,1.0,1.0,0.0,0.0,0.0556723624467849,0.0666982010006904,0.0450261794030666,0.0578823536634445,0.0989489927887916,0.110749065876007,113,113,0.011025838553905508,0.0,14.1,baixa,ndvi_p90_atual=0.111; delta_ndvi=0.011
P005,-45.9440003,-23.2555288,1.0,1.0,0.0,0.0,0.0730263143777847,0.0745039209723472,0.0566037744283676,0.0668051242828369,0.1279738098382949,0.1187935397028923,113,113,0.0014776065945625028,0.0,13.6,baixa,ndvi_p90_atual=0.119; delta_ndvi=0.001
P018,-45.9213146,-23.2396888,1.0,1.0,0.0,0.0,0.0913630798459053,0.0693989694118499,0.0694651305675506,0.0502493269741535,0.1890944689512252,0.1434131562709808,113,113,-0.021964110434055398,0.0,13.2,baixa,ndvi_p90_atual=0.143; delta_ndvi=-0.022
P007,-45.9403855,-23.2534074,1.0,1.0,0.0,0.0,0.051607921719551,0.0599864982068538,0.0371424071490764,0.0457996577024459,0.110197015106678,0.0983826965093612,113,113,0.008378576487302794,0.0,11.7,baixa,ndvi_p90_atual=0.098; delta_ndvi=0.008
P029,-45.9011783,-23.2210474,1.0,1.0,0.0,0.0,0.0762087926268577,0.0648247972130775,0.0732278823852539,0.0547776967287063,0.1244325414299964,0.1189758032560348,113,113,-0.011383995413780199,0.0,11.0,baixa,ndvi_p90_atual=0.119; delta_ndvi=-0.011
P002,-45.9499994,-23.259387,1.0,1.0,0.0,0.0,0.0876442119479179,0.0629195272922515,0.0562861636281013,0.0576271191239357,0.2476117312908172,0.1295628547668457,113,113,-0.024724684655666393,0.0,10.2,baixa,ndvi_p90_atual=0.130; delta_ndvi=-0.025
P027,-45.9053188,-23.2246019,1.0,1.0,0.0,0.0,0.0669714361429214,0.0610764101147651,0.0602409653365612,0.0575221255421638,0.1072380319237709,0.1041093841195106,113,113,-0.005895026028156308,0.0,9.5,baixa,ndvi_p90_atual=0.104; delta_ndvi=-0.006
P025,-45.9114144,-23.2304542,1.0,1.0,0.0,0.0,0.0836541429162025,0.0618829987943172,0.0716129019856453,0.0531012937426567,0.1351708024740219,0.1196454912424087,113,113,-0.021771144121885307,0.0,9.1,baixa,ndvi_p90_atual=0.120; delta_ndvi=-0.022
P022,-45.9162493,-23.2347839,1.0,1.0,0.0,0.0,0.0746293514966964,0.063450664281845,0.0633158013224601,0.0575771518051624,0.1045567393302917,0.1056439504027366,113,113,-0.011178687214851407,0.0,8.8,baixa,ndvi_p90_atual=0.106; delta_ndvi=-0.011
P011,-45.9329924,-23.2484889,1.0,1.0,0.0,0.0,0.0671142414212226,0.0594463571906089,0.054619014263153,0.056066945195198,0.1256389617919922,0.0881806537508964,113,113,-0.0076678842306137016,0.0,8.5,baixa,ndvi_p90_atual=0.088; delta_ndvi=-0.008
P026,-45.9091561,-23.2284187,1.0,1.0,0.0,0.0,0.0609044022858142,0.0522439442574977,0.0587711483240127,0.0434415861964225,0.1054002791643142,0.0919311344623565,113,113,-0.008660458028316505,0.0,8.3,baixa,ndvi_p90_atual=0.092; delta_ndvi=-0.009
P006,-45.9424476,-23.2547414,1.0,1.0,0.0,0.0,0.0698698461055755,0.0568781495094299,0.0651021972298622,0.0505217835307121,0.1225876212120056,0.0976649969816207,113,113,-0.012991696596145609,0.0,7.4,baixa,ndvi_p90_atual=0.098; delta_ndvi=-0.013
P052,-45.8400941,-23.1796057,1.0,1.0,0.0,0.0,0.0947068110108375,0.0659791231155395,0.0919982865452766,0.0539206713438034,0.1673302054405212,0.1023950725793838,113,113,-0.028727687895298004,0.0,4.7,baixa,ndvi_p90_atual=0.102; delta_ndvi=-0.029
